company,industry,stage,funds_raised,region,recency,events_deviation,recency_deviation,layoff_events_category,funds_raised_binned
Spin,Transportation,Acquired,8.0,North America,3,-0.45833333333333326,0.05555555555555536,once,tiny
Microsoft,Other,Post-IPO,1.0,North America,0,2.6301369863013697,-2.0684931506849313,four_plus,tiny
Transmit Security,Security,Series A,583.0,North America,3,-0.21818181818181825,0.8363636363636364,once,large
Butler Hospitality,Food,Series B,50.0,North America,3,-0.3787878787878789,0.09090909090909083,once,tiny
Lev,Real Estate,Series B,114.0,North America,3,-0.39473684210526305,-0.5263157894736841,once,small
Zepz,Finance,Series E,700.0,Europe,2,1.7098765432098766,-1.0061728395061729,thrice,large
Thoughtworks,Other,Post-IPO,748.0,North America,2,0.6301369863013699,-0.06849315068493134,twice,large
Electronic Arts,Consumer,Post-IPO,2.0,North America,2,0.6166666666666667,-0.4833333333333334,twice,tiny
Zipcar,Transportation,Acquired,107.0,North America,5,-0.45833333333333326,2.0555555555555554,once,small
Vee,HR,Seed,15.0,Asia,3,0.7941176470588236,-0.23529411764705888,twice,tiny
ChargePoint,Manufacturing,Unknown,1400.0,North America,1,-0.19999999999999996,-0.19999999999999996,once,large
Dukaan,Retail,Series A,17.0,Asia,2,-0.32978723404255317,-0.8829787234042552,once,tiny
Lawgeex,Legal,Series C,41.0,Asia,3,-0.1428571428571428,0.4285714285714284,once,tiny
Zenoti,Fitness,Series C,91.0,North America,5,-0.3076923076923077,1.2307692307692308,once,small
SAP,Other,Post-IPO,1300.0,Europe,2,0.6301369863013699,-0.06849315068493134,twice,large
Lattice,HR,Series C,328.0,North America,5,0.7941176470588236,1.7647058823529411,twice,medium
Healthy.io,Healthcare,Series D,185.0,Asia,1,0.7395833333333333,-1.59375,twice,medium
Reddit,Consumer,Series F,1300.0,North America,2,-0.3833333333333333,-0.4833333333333334,once,large
Protocol Labs,Crypto,Unknown,10.0,North America,2,-0.26190476190476186,-0.2857142857142856,once,tiny
Stitch Fix,Retail,Post-IPO,79.0,North America,3,0.6702127659574468,0.1170212765957448,twice,small
Chingari,Media,Unknown,88.0,Asia,2,-0.4358974358974359,-0.6666666666666665,once,small
WorkRamp,HR,Series C,67.0,North America,3,-0.2058823529411764,-0.23529411764705888,once,small
Otonomo,Transportation,Post-IPO,231.0,Asia,3,-0.45833333333333326,0.05555555555555536,once,medium
RealPage,Real Estate,Acquired,105.0,North America,1,-0.39473684210526305,-2.526315789473684,once,small
Astronomer,Data,Series C,282.0,North America,2,0.7804878048780488,-0.9512195121951219,twice,medium
Automation Anywhere,Other,Series B,840.0,North America,5,-0.36986301369863006,2.9315068493150687,once,large
Kontist,Finance,Series B,53.0,Europe,3,-0.2901234567901234,-0.006172839506172867,once,tiny
Postmates,Food,Acquired,763.0,North America,4,-0.3787878787878789,1.0909090909090908,once,large
Calendly,Other,Series B,351.0,North America,2,0.6301369863013699,-0.06849315068493134,twice,medium
Melio,Finance,Series D,504.0,North America,1,-0.2901234567901234,-2.006172839506173,once,large
CS Disco,Legal,Post-IPO,233.0,North America,2,-0.1428571428571428,-0.5714285714285716,once,medium
Iron Ox,Food,Series C,103.0,North America,3,-0.3787878787878789,0.09090909090909083,once,small
Sonos,Consumer,Post-IPO,455.2,North America,1,2.6166666666666667,-1.4833333333333334,four_plus,medium
Oda,Food,Unknown,377.0,Europe,3,1.621212121212121,0.09090909090909083,thrice,medium
Placer.ai,Data,Unknown,267.0,North America,0,-0.2195121951219512,-2.951219512195122,once,medium
Impact.com,Sales,Private Equity,361.0,North America,1,-0.41666666666666674,-1.4166666666666665,once,medium
Freshbooks,Finance,Series B,75.0,North America,5,-0.2901234567901234,1.9938271604938271,once,small
Synapsica,Healthcare,Series A,4.0,Asia,3,-0.26041666666666674,0.40625,once,tiny
Lime,Transportation,Series D,765.0,North America,5,-0.45833333333333326,2.0555555555555554,once,large
Truepill,Healthcare,Series D,255.0,North America,3,0.7395833333333333,0.40625,twice,medium
Shop101,Retail,Series C,19.0,Asia,5,-0.32978723404255317,2.117021276595745,once,tiny
Wint Wealth,Finance,Series A,16.0,Asia,1,-0.2901234567901234,-2.006172839506173,once,tiny
Rent the Runway,Retail,Post-IPO,526.0,North America,1,-0.32978723404255317,-1.8829787234042552,once,large
Xentral,Product,Series B,94.0,Europe,3,-0.19047619047619047,0.04761904761904745,once,small
Nori,Energy,Unknown,13.0,North America,2,-0.23076923076923084,0.3076923076923077,once,tiny
Abra,Crypto,Series C,106.0,North America,3,-0.26190476190476186,0.7142857142857144,once,small
Gemini,Crypto,Unknown,423.0,North America,3,0.7380952380952381,0.7142857142857144,twice,medium
Byju's,Education,Private Equity,5500.0,Asia,1,0.4722222222222223,-1.8611111111111112,twice,large
Sensibill,Finance,Series B,50.0,North America,5,-0.2901234567901234,1.9938271604938271,once,tiny
Sidecar Health,Healthcare,Series C,163.0,North America,3,-0.26041666666666674,0.40625,once,small
Figure,Crypto,Unknown,1500.0,North America,2,-0.26190476190476186,-0.2857142857142856,once,large
Virgin Hyperloop,Transportation,Unknown,368.0,North America,3,-0.45833333333333326,0.05555555555555536,once,medium
Back Market,Retail,Series E,1000.0,Europe,3,-0.32978723404255317,0.1170212765957448,once,large
DigitalOcean,Infrastructure,Post-IPO,491.0,North America,2,-0.4375,-1.1875,once,large
Playdots,Consumer,Acquired,10.0,North America,3,-0.3833333333333333,0.5166666666666666,once,tiny
Patreon,Media,Series D,413.0,North America,3,0.5641025641025641,0.3333333333333335,twice,medium
Invitae,Healthcare,Post-IPO,2500.0,North America,2,-0.26041666666666674,-0.59375,once,large
UiPath,Data,Post-IPO,2000.0,North America,3,0.7804878048780488,0.04878048780487809,twice,large
Qumulo,Data,Series E,347.0,North America,3,-0.2195121951219512,0.04878048780487809,once,medium
Bryter,Product,Series B,89.0,Europe,3,-0.19047619047619047,0.04761904761904745,once,small
Kenko Health,Healthcare,Series A,14.0,Asia,2,0.7395833333333333,-0.59375,twice,tiny
Ada Support,Support,Series B,60.0,North America,5,-0.5294117647058822,2.0588235294117645,once,tiny
